RSK,RSKF,VPM,TMK,UPM,TXK,TNK,TGK,evapo_p,evapo_r,soil_moist
0,0,119,16.6,6600,22.5,9.2,6.5,39.6853146853147,31.9370629370629,90.7902097902098
0,0,131,17.6,6700,23.5,11.7,10.1,46.2027972027972,35.7062937062937,87.993006993007
0,0,128,19.4,5800,26,12.4,10,54.006993006993,40.3496503496503,84.8671328671329
0,0,144,20.5,6000,26,14.1,11.4,45.1328671328671,33.951048951049,82.7692307692308
0,0,125,22,4900,27.8,15.9,11.9,56.7762237762238,39.8601398601399,80.1398601398601
0,0,135,19,6200,24.7,13.8,10.3,36.7482517482517,25.9440559440559,79.7972027972028
2.3,4,148,16.5,8100,22.1,12,9.9,33.4265734265734,28.8741258741259,81.7482517482517
0,0,146,16.5,7900,20.4,12,10,25.9440559440559,16.006993006993,84.5874125874126
3,4,132,16.5,7200,22.2,12.9,10.7,28.3706293706294,20.7342657342657,83.9160839160839
3.2,4,150,15.1,8800,20.5,12.6,9.9,24.6013986013986,22.993006993007,86.6083916083916
9.7,4,149,16.3,8100,21.8,12.5,9.9,29.6573426573427,24.8601398601399,84.7972027972028
26.8,4,156,17.4,8000,23.2,13.2,10.9,31.3216783216783,27.2587412587413,91.4265734265734
0,4,145,15.6,8200,19.4,12.7,9.9,24.2167832167832,22.5734265734266,90.0979020979021
0,0,130,16.4,7100,21.9,11.4,8.5,32.1258741258741,27,88.2657342657343
13.2,4,152,14.8,9000,18.3,12.8,11.4,23.4545454545455,22.0699300699301,93.6783216783217
0,0,147,15.2,8600,19.5,12.3,9.6,26.3426573426573,24.8391608391608,92.6853146853147
4.2,4,147,16.8,7900,24,11.5,9.2,39.8391608391608,36.9300699300699,90.7272727272727
3.3,4,140,15.2,8300,20.2,11.7,11.4,31.4965034965035,30.5104895104895,91.3636363636364
8.6,4,130,14.1,8200,19.6,10.5,10.1,33.6433566433566,32.0979020979021,90.6293706293706
4.5,4,152,15.3,8800,19.7,12.3,10.4,24.979020979021,24.7762237762238,98.3916083916084
10.1,4,135,15.2,7900,20.9,11.1,9,25.6503496503496,24.8601398601399,98.7692307692308
0,0,135,15.4,7800,20.5,10.4,8.7,25.2727272727273,24.6643356643357,97.0839160839161
0.7,4,163,17.1,8400,22,14,13,23.4615384615385,21.7762237762238,95.6013986013986
0,0,131,14.6,7900,17.2,11.5,10.8,19.2587412587413,17.2657342657343,93.9510489510489
0,0,111,13.1,7400,16.3,9.2,7.3,19.7552447552448,17,92.3146853146853
3.1,4,129,16.7,6900,21.5,13.2,12.4,32.972027972028,29.1398601398601,90.5314685314685
0,4,117,14.6,7100,18.5,8.9,6,30.5874125874126,28.4055944055944,89.5034965034965
0,0,96,14.6,5900,20,8.5,5.4,39.986013986014,32,87.3356643356643
0,0,102,16,5800,21.2,10.5,8.7,38.9370629370629,30,85.2097902097902
0,0,114,16.2,6400,21.5,10.1,7.5,42.7132867132867,33.8951048951049,83.041958041958
0,0,98,14.4,6200,20.8,8.3,5.7,41.986013986014,31,80.7202797202797
8.9,4,112,11.2,8300,14.3,9.2,6.9,21.3076923076923,20.2027972027972,85.2587412587413
1.3,4,100,12.1,7300,17.5,7.8,6.1,32.5874125874126,28.4265734265734,84.979020979021
0,0,100,12,7200,16.3,8.4,6.1,27.3356643356643,22.986013986014,84.034965034965
0,4,97,14.5,6100,20.2,8.6,6.8,35.4755244755245,26.7692307692308,81.993006993007
3.8,4,132,16.6,6900,20.5,13.6,11.5,26.3356643356643,23.1258741258741,81.034965034965
3.3,4,122,15.8,6900,19.4,12.2,11.8,43.6643356643357,42.6363636363636,81.9160839160839
2.7,4,135,15.7,7600,19.2,13.3,11.6,29.5454545454545,27.5384615384615,81.9090909090909
0,0,152,17.4,7700,22.1,13.4,11.1,33.0769230769231,31,82.041958041958
12.9,4,166,16.9,8600,23.4,13.6,10.9,23.4125874125874,22.4125874125874,89
0,0,145,16.7,7800,21.2,13.5,11.4,30.3426573426573,28.3986013986014,87.7622377622378
0.5,4,145,17.3,7400,21.4,11.4,9.5,31.8881118881119,28.9510489510489,86.7762237762238
21.8,4,189,18,9100,23.8,13,12.9,21.2657342657343,21,89.006993006993
0,0,144,17,7600,22,11.6,10,31.9230769230769,28.6223776223776,87.4475524475525
0,0,151,19,7100,24.9,12.7,10.4,41.5804195804196,33.951048951049,85.1398601398601
0,0,157,21.2,6400,26.8,13.9,11.5,47.4965034965035,37,82.5244755244755
0,0,164,23.2,5900,28.4,16,13.2,59.4055944055944,44.2517482517483,79.3986013986014
